JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2451591.1354,5.7,,,Vis.,JA,,,,,,,,V,,,,ETA CAR,,STD,,,,
2451591.4,5.2,,,Vis.,VED,,,,,,,,V,,,,ETA CAR,AFOEV,STD,,,,
2451591.572,5.1,,,Vis.,DZS,,,,,,,,V,,,,ETA CAR,,STD,,,,
2451591.6,5.6,,,Vis.,PPB,M,,,,,,,V,,,,ETA CAR,,STD,,,,
2451592.1972,5.7,,,Vis.,JA,,,,,,,,V,,,,ETA CAR,,STD,,,,
2451592.649,5.1,,,Vis.,DZS,,,,,,,,V,,,,ETA CAR,,STD,,,,
2451592.7,5.12,,,Vis.,OSE,,508,538,OTERO2001,,,,Z,,,,ETA CAR,AAVSO,STD,,,,
2451593.0,5.7,,,Vis.,CR,K,,,,,,,V,,,,ETA CAR,,STD,,,,
2451593.2049,5.2,,,Vis.,TBX,KW,na,,na,RASNZ ARCHIVAL,0,,V,,,,ETA CAR,,STD,,,,RASNZ
2451593.4910,5.0,,,Vis.,SBN,,,,,,,,V,,,,ETA CAR,,STD,,,,
2451593.6132,5.2,,,Vis.,AAX,GM,,,,,,,V,,,,ETA CAR,,STD,,,,
2451593.628,5.2,,,Vis.,DZS,,,,,,,,V,,,,ETA CAR,,STD,,,,
2451593.9,5.2,,,Vis.,MBB,K,na,,na,RASNZ ARCHIVAL,0,,V,,,,ETA CAR,,STD,,,,RASNZ
2451594.0395,5.6,,,Vis.,SJDA,,,,,B7X50,,,Z,,,,ETA CAR,BAA-VSS,STD,,,,BAAVSS
2451594.5799,5.2,,,Vis.,AAX,GM,,,,,,,V,,,,ETA CAR,,STD,,,,
2451594.89,5.4,,,Vis.,MBB,K,na,,na,RASNZ ARCHIVAL,0,,V,,,,ETA CAR,,STD,,,,RASNZ
2451595.1097,5.3,,,Vis.,JA,,,,,,,,V,,,,ETA CAR,,STD,,,,
2451595.8965,5.6,,,Vis.,JA,,,,,,,,V,,,,ETA CAR,,STD,,,,
2451596.4868,5.1,,,Vis.,SBN,,,,,,,,V,,,,ETA CAR,,STD,,,,
2451596.6,5.09,,,Vis.,OSE,,508,538,OTERO2001,,,,Z,,,,ETA CAR,AAVSO,STD,,,,
2451597.9160,5.6,,,Vis.,JA,,,,,,,,V,,,,ETA CAR,,STD,,,,
2451598.5,5.6,,,Vis.,PPB,,,,,,,,V,,,,ETA CAR,,STD,,,,
2451598.5354,5.3,,,Vis.,AAX,,,,,,,,V,,,,ETA CAR,,STD,,,,
2451598.846,5.3,,,Vis.,HGC,K,na,,na,RASNZ ARCHIVAL,0,,V,,,,ETA CAR,,STD,,,,RASNZ
